"Estado", "Nivel", "Vía", "Kilómetro Inicial", "Kilómetro Final", "Sentido", "Provincia", "Población", "URL"
"RETENCIÓN", "AMARILLO", "B_10", "0", "10", "norte", "BARCELONA", "Barcelona", "http://t.co/d5gFRWeIDP"
"RETENCIÓN", "AMARILLO", "B_10", "10", "5", "sur", "BARCELONA", "Barcelona", "http://t.co/OUoWZCYbDO"
"RETENCIÓN", "AMARILLO", "A_3", "17", "15", "creciente", "RIVAS-VACIAMADRID", "Madrid", "http://t.co/QKCCmtaRwz"
"RETENCIÓN", "AMARILLO", "AP_7", "145.5", "147", "norte", "SANTA PERPETUA DE MOGODA", "Barcelona", "http://t.co/OxyhhAfHYJ"
"RETENCIÓN", "AMARILLO", "A_2", "608", "610", "sur", "SANT JOAN DESPI", "Barcelona", "http://t.co/iu6jFVpdGS"
"RETENCIÓN", "AMARILLO", "V_30", "11", "9", "creciente", "QUART DE POBLET", "Valencia", "http://t.co/GLsxcVgkPB"
"RETENCIÓN", "AMARILLO", "A_1", "14", "18", "decreciente", "MADRID", "Madrid", "http://t.co/eMyZWBfOeT"
"RETENCIÓN", "AMARILLO", "A_1", "14", "11", "creciente", "MADRID", "Madrid", "http://t.co/eMyZWBfOeT"
"RETENCIÓN", "AMARILLO", "B_10", "0", "7", "norte", "BARCELONA", "Barcelona", "http://t.co/d5gFRWeIDP"
"RETENCIÓN", "AMARILLO", "A_5", "20", "17", "creciente", "MOSTOLES", "Madrid", "http://t.co/sXbQcnZHGk"
"RETENCIÓN", "AMARILLO", "A_2", "4.5", "10.3", "decreciente", "MADRID", "Madrid", "http://t.co/HnNfa75vMT"
"RETENCIÓN", "AMARILLO", "M_40", "46", "54", "decreciente", "MADRID", "Madrid", "http://t.co/hTgZtXcVM5"
"RETENCIÓN", "AMARILLO", "V_30", "8", "10", "decreciente", "XIRIVELLA", "Valencia", "http://t.co/Fm6mbj3g6J"
"RETENCIÓN", "AMARILLO", "A_6", "12.2", "17.5", "decreciente", "POZUELO DE ALARCON", "Madrid", "http://t.co/InFm7oWWtO"
"RETENCIÓN", "AMARILLO", "AP_7", "147", "145", "sur", "BARBERA DEL VALLES", "Barcelona", "http://t.co/i7PDEtQL1p"
"RETENCIÓN", "AMARILLO", "B_23", "0", "2.5", "norte", "ESPLUGUES DE LLOBREGAT", "Barcelona", "http://t.co/ULnaDmbqsa"
"RETENCIÓN", "AMARILLO", "C_32", "55", "53", "sur", "SANT BOI DE LLOBREGAT", "Barcelona", "http://t.co/KS3hbo6p83"
"RETENCIÓN", "AMARILLO", "C_17", "13", "15", "sur", "MOLLET DEL VALLES", "Barcelona", "http://t.co/4sHQUAMihv"
"RETENCIÓN", "AMARILLO", "A_2", "608", "606", "norte", "CORNELLA DE LLOBREGAT", "Barcelona", "http://t.co/iu6jFVpdGS"
"RETENCIÓN", "AMARILLO", "A_1", "14", "17", "decreciente", "MADRID", "Madrid", "http://t.co/eMyZWBfOeT"
"RETENCIÓN", "AMARILLO", "C_32", "63", "62", "norte", "ESPLUGUES DE LLOBREGAT", "Barcelona", "http://t.co/mgoYer2trw"
